Combine labels,coding,stopwords,stemming,uniform prior,model,accuracy,accuracy on top frequency DAS,frequency-weighted accuracy,weighted precision,weighted recall,weighted F1 score,file with predictions on test set,file with predictions
no,1,no,yes,yes,second classifier (TF-IDF Naive Bayes classifier),0.881578947368421,0.9814814814814815,0.881578947368421,0.8883009153318078,0.881578947368421,0.868590014361747,Classified_TFIDF_NB-test_combined_labels_no-coding-approach1-stopwords-no-uniformprior_yes-stemming_yes-test_no.csv,Classified_TFIDF_NB_combined_labels_no-coding-approach1-stopwords-no-uniformprior_yes-stemming_yes-test_no.csv
no,1,no,yes,yes,third classifier (SVM classifier),0.9473684210526315,1.0,0.9473684210526315,0.9407894736842105,0.9473684210526315,0.9414872408293462,Classified_SVM-test_combined_labels_no-coding-approach1-stopwords-no-uniformprior_yes-stemming_yes-test_no.csv,Classified_SVM_combined_labels_no-coding-approach1-stopwords-no-uniformprior_yes-stemming_yes-test_no.csv
no,1,no,yes,yes,fourth classifier (word2vec),0.8421052631578947,0.9259259259259259,0.8421052631578947,0.8259429824561403,0.8421052631578947,0.8186063631064078,Classified_w2v-test_combined_labels_no-coding-approach1-stopwords-no-uniformprior_yes-stemming_yes-test_no.csv,Classified_w2v_combined_labels_no-coding-approach1-stopwords-no-uniformprior_yes-stemming_yes-test_no.csv
no,1,no,yes,yes,fifth classifier (word2vec with TF-IDF),0.8026315789473685,0.9259259259259259,0.8026315789473685,0.8167331206804891,0.8026315789473685,0.7751173080120449,Classified_w2v_tfidf-test_combined_labels_no-coding-approach1-stopwords-no-uniformprior_yes-stemming_yes-test_no.csv,Classified_w2v_tfidf_combined_labels_no-coding-approach1-stopwords-no-uniformprior_yes-stemming_yes-test_no.csv
no,1,no,yes,no,first classifier (Naive Bayes classifier),0.8157894736842105,
no,1,no,yes,no,second classifier (TF-IDF Naive Bayes classifier),0.7894736842105263,0.9444444444444444,0.7894736842105263,0.7734863820390135,0.7894736842105263,0.7178308502408225,Classified_TFIDF_NB-test_combined_labels_no-coding-approach1-stopwords-no-uniformprior_no-stemming_yes-test_no.csv,Classified_TFIDF_NB_combined_labels_no-coding-approach1-stopwords-no-uniformprior_no-stemming_yes-test_no.csv
no,1,no,yes,no,third classifier (SVM classifier),0.9473684210526315,1.0,0.9473684210526315,0.9407894736842105,0.9473684210526315,0.9414872408293462,Classified_SVM-test_combined_labels_no-coding-approach1-stopwords-no-uniformprior_no-stemming_yes-test_no.csv,Classified_SVM_combined_labels_no-coding-approach1-stopwords-no-uniformprior_no-stemming_yes-test_no.csv
no,1,no,yes,no,fourth classifier (word2vec),0.8421052631578947,0.9259259259259259,0.8421052631578947,0.8171439628482972,0.8421052631578947,0.8215309909388856,Classified_w2v-test_combined_labels_no-coding-approach1-stopwords-no-uniformprior_no-stemming_yes-test_no.csv,Classified_w2v_combined_labels_no-coding-approach1-stopwords-no-uniformprior_no-stemming_yes-test_no.csv
no,1,no,yes,no,fifth classifier (word2vec with TF-IDF),0.8289473684210527,0.9444444444444444,0.8289473684210527,0.8198798627002288,0.8289473684210527,0.8053068063416969,Classified_w2v_tfidf-test_combined_labels_no-coding-approach1-stopwords-no-uniformprior_no-stemming_yes-test_no.csv,Classified_w2v_tfidf_combined_labels_no-coding-approach1-stopwords-no-uniformprior_no-stemming_yes-test_no.csv
no,1,no,no,yes,first classifier (Naive Bayes classifier),0.8157894736842105,
no,1,no,no,yes,second classifier (TF-IDF Naive Bayes classifier),0.868421052631579,0.9814814814814815,0.868421052631579,0.8812520431513565,0.868421052631579,0.8533017938103687,Classified_TFIDF_NB-test_combined_labels_no-coding-approach1-stopwords-no-uniformprior_yes-stemming_no-test_no.csv,Classified_TFIDF_NB_combined_labels_no-coding-approach1-stopwords-no-uniformprior_yes-stemming_no-test_no.csv
no,1,no,no,yes,third classifier (SVM classifier),0.9605263157894737,1.0,0.9605263157894737,0.9504643962848297,0.9605263157894737,0.9545065789473685,Classified_SVM-test_combined_labels_no-coding-approach1-stopwords-no-uniformprior_yes-stemming_no-test_no.csv,Classified_SVM_combined_labels_no-coding-approach1-stopwords-no-uniformprior_yes-stemming_no-test_no.csv
no,1,no,no,yes,fourth classifier (word2vec),0.8421052631578947,0.9259259259259259,0.8421052631578947,0.8487499999999999,0.8421052631578947,0.8226075942544534,Classified_w2v-test_combined_labels_no-coding-approach1-stopwords-no-uniformprior_yes-stemming_no-test_no.csv,Classified_w2v_combined_labels_no-coding-approach1-stopwords-no-uniformprior_yes-stemming_no-test_no.csv
no,1,no,no,yes,fifth classifier (word2vec with TF-IDF),0.8026315789473685,0.9259259259259259,0.8026315789473685,0.8119347281246594,0.8026315789473685,0.7736388020613333,Classified_w2v_tfidf-test_combined_labels_no-coding-approach1-stopwords-no-uniformprior_yes-stemming_no-test_no.csv,Classified_w2v_tfidf_combined_labels_no-coding-approach1-stopwords-no-uniformprior_yes-stemming_no-test_no.csv
no,1,no,no,no,first classifier (Naive Bayes classifier),0.8157894736842105,
no,1,no,no,no,second classifier (TF-IDF Naive Bayes classifier),0.7763157894736842,0.9444444444444444,0.7763157894736842,0.7646587523697752,0.7763157894736842,0.6913176099031362,Classified_TFIDF_NB-test_combined_labels_no-coding-approach1-stopwords-no-uniformprior_no-stemming_no-test_no.csv,Classified_TFIDF_NB_combined_labels_no-coding-approach1-stopwords-no-uniformprior_no-stemming_no-test_no.csv
no,1,no,no,no,third classifier (SVM classifier),0.9605263157894737,1.0,0.9605263157894737,0.9504643962848297,0.9605263157894737,0.9545065789473685,Classified_SVM-test_combined_labels_no-coding-approach1-stopwords-no-uniformprior_no-stemming_no-test_no.csv,Classified_SVM_combined_labels_no-coding-approach1-stopwords-no-uniformprior_no-stemming_no-test_no.csv
no,1,no,no,no,fourth classifier (word2vec),0.8421052631578947,0.9259259259259259,0.8421052631578947,0.8157843137254901,0.8421052631578947,0.8130354802541158,Classified_w2v-test_combined_labels_no-coding-approach1-stopwords-no-uniformprior_no-stemming_no-test_no.csv,Classified_w2v_combined_labels_no-coding-approach1-stopwords-no-uniformprior_no-stemming_no-test_no.csv
no,1,no,no,no,fifth classifier (word2vec with TF-IDF),0.8026315789473685,0.9259259259259259,0.8026315789473685,0.8104236655468459,0.8026315789473685,0.7738408521303257,Classified_w2v_tfidf-test_combined_labels_no-coding-approach1-stopwords-no-uniformprior_no-stemming_no-test_no.csv,Classified_w2v_tfidf_combined_labels_no-coding-approach1-stopwords-no-uniformprior_no-stemming_no-test_no.csv
